"Название компании";"Стационарный телефон компании";"Мобильный телефон компании";"Бесплатный номер компании";"Whatsapp компании";"Telegram компании";"Viber компании";ИНН;ОГРН;"Руководитель (по ЕГРЮЛ)";"Заголовок сайта (title)";"Тип компании";Город;"Район города";Регион;"Федеральный округ";Рубрика;Подрубрика;"Тип подрубрики *";"Координаты(x, y)";"Часы работы компании по местному времени";"Часовой пояс";Статус;"Рейтинг компании в Интернете";"Примерное число отзывов в Интернете";"Адрес компании";"Адрес и почтовый индекс компании";"Email компании";Сайт;"Социальные сети";"Численность сотрудников (чел.) *";"Выручка (тыс. руб.) *";"Главный ОКВЭД (код)";"Главный ОКВЭД (название)"
Gracetour;;"+7 (930) 333-07-63";"8 800 301-98-62";wa.me/79255081406;;;9724008226;1207700110089;"Сергей Александрович Б.";"Автомобильные 3D коврики из экокожи, GRACETOUR";"Продавец на Ozon, Продавец на Wildberries, Продавец на Яндекс Маркете, Исполнительные производства, Компании на УСН";Москва;;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автомобильные аксессуары";Главная;"55.643 37.631";"пн: 10:00 - 19:00
вт: 10:00 - 19:00
ср: 10:00 - 19:00
чт: 10:00 - 19:00
пт: 10:00 - 19:00
сб: 10:00 - 19:00
вс: 10:00 - 19:00";"Московское время";Действующая;"5 из 5";"больше 100";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе"
Нефтьмагистраль;"+7 (495) 544-46-45 (Секретариат/приёмная)";;"8 800 700-46-42";;;;7710298176;1027739037094;"Слипченко Сергей Викторович";"Главная Нефтьмагистраль";"Магазин, Исполнительные производства";Москва;;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозаправочные станции (АЗС)";Главная;"55.668 37.837";"пн: 00:00 - 24:00
вт: 00:00 - 24:00
ср: 00:00 - 24:00
чт: 00:00 - 24:00
пт: 00:00 - 24:00
сб: 00:00 - 24:00
вс: 00:00 - 24:00";"Московское время";Действующая;"5 из 5";"больше 100";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе"
"Лукойл, АЗС";"+7 (495) 627-44-44, +7 (495) 221-31-12, +7 (495) 625-70-16, +7 (495) 627-16-96, +7 (495) 627-49-99, +7 (495) 627-87-60, +7 (495) 628-98-41, +7 (495) 642-76-44, +7 (495) 646-92-36, +7 (495) 725-67-56";;"8 800 100-09-11 (Секретариат/приёмная), 8 800 200-94-02, 8 800 500-29-47";;"t.me/lukoil_os_bot, t.me/lukoilofficial";;7708004767;1027700035769;"Кочкуров Сергей Алексеевич";"Официальный сайт Компании «ЛУКОЙЛ»";"Магазин, Торговая сеть, Член СРО, Участник госзакупок 44-ФЗ, Победитель госзакупок 44-ФЗ, Торговые знаки";Москва;Мещанский;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозаправочные станции (АЗС)";Главная;"55.784 37.623";"пн: 00:00 - 24:00
вт: 00:00 - 24:00
ср: 00:00 - 24:00
чт: 00:00 - 24:00
пт: 00:00 - 24:00
сб: 00:00 - 24:00
вс: 00:00 - 24:00";"Московское время";Действующая;"5 из 5";"больше 100";-;-;-;-;-;-;-;-;-
Роснефть;"+7 (499) 517-88-99 (Секретариат/приёмная)";"+7 (966) 378-98-29";"8 800 775-75-88, 8 800 200-10-70 (Секретариат/приёмная), 8 800 500-11-00, 8 800 500-25-45";;;;7743529527;1047796395305;"Ольга Леонидовна П.";РОСНЕФТЬ;"Магазин, Участник госзакупок 44-ФЗ, Победитель госзакупок 44-ФЗ, Участник госзакупок 223-ФЗ, Победитель госзакупок 223-ФЗ, Исполнительные производства";Москва;;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозаправочные станции (АЗС)";Главная;"55.618 37.391";"пн: 00:00 - 24:00
вт: 00:00 - 24:00
ср: 00:00 - 24:00
чт: 00:00 - 24:00
пт: 00:00 - 24:00
сб: 00:00 - 24:00
вс: 00:00 - 24:00";"Московское время";Действующая;"5 из 5";"больше 100";-;-;-;-;-;-;-;-;-
Трасса;"+7 (499) 940-10-40, +7 (499) 903-62-66 (Секретариат/приёмная), +7 (499) 903-66-00";;;;;;5029169023;1125029011117;"Алексеенков Олег Олегович";Главная;"Магазин, Лизингополучатель, Участник госзакупок 44-ФЗ, Победитель госзакупок 44-ФЗ, Торговые знаки, Исполнительные производства";Москва;;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозаправочные станции (АЗС)";Главная;"55.564 37.175";"пн: 00:00 - 24:00
вт: 00:00 - 24:00
ср: 00:00 - 24:00
чт: 00:00 - 24:00
пт: 00:00 - 24:00
сб: 00:00 - 24:00
вс: 00:00 - 24:00";"Московское время";Действующая;"5 из 5";"больше 100";-;-;-;-;-;-;-;-;-
"Avtoall, магазин автозапчастей";"+7 (495) 504-36-67, +7 (495) 151-30-13";;"8 800 600-69-66 (Секретариат/приёмная)";;;;9701127481;1197746136961;"Разуваев Александр Викторович";"Страна запчастей и аксессуаров. Товары для дома и отдыха AvtoALL.ru";"Магазин, Продавец на Ozon, Продавец на Wildberries, Торговые знаки, Компании на УСН";Москва;Москворечье-Сабурово;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозапчасти для иномарок";Главная;"55.648 37.656";"пн: 00:00 - 24:00
вт: 00:00 - 24:00
ср: 00:00 - 24:00
чт: 00:00 - 24:00
пт: 00:00 - 24:00
сб: 00:00 - 24:00
вс: 00:00 - 24:00";"Московское время";Действующая;"5 из 5";"больше 100";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе"
"Автодом Вернадского, автоцентр";"+7 (495) 186-06-73, +7 (495) 241-64-01, +7 (495) 154-38-29, +7 (495) 186-49-90, +7 (495) 500-50-00";;;;t.me/bmwabtodom;;7714709349;1077759436336;"Ольховский Андрей Сергеевич";"Официальный дилер BMW";"Дилер, Лизингополучатель, Участник госзакупок 44-ФЗ, Победитель госзакупок 44-ФЗ, Торговые знаки";Москва;Тропарёво-Никулино;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозапчасти для иномарок";Главная;"55.669 37.494";"пн: 08:00 - 21:00
вт: 08:00 - 21:00
ср: 08:00 - 21:00
чт: 08:00 - 21:00
пт: 08:00 - 21:00
сб: 08:00 - 21:00
вс: 08:00 - 21:00";"Московское время";Действующая;"5 из 5";"больше 100";-;-;-;-;-;-;-;-;-
"XenonShop.ru, интернет-магазин";"+7 (495) 150-50-42, +7 (495) 215-54-52";"+7 (903) 720-57-70";"8 800 333-21-92 (Секретариат/приёмная)";"wa.me/79037205770, wa.me/+79037205770";;;7724356438;1167746253806;"Сергей Викторович Ф.";"XenonShop Магазин ксенона и установочный центр автосвета в Москве";"Магазин, Продавец на Яндекс Маркете, Компании на УСН";Москва;Южнопортовый;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозапчасти для легковых автомобилей";Главная;"55.725 37.674";"пн: 09:00 - 20:00
вт: 09:00 - 20:00
ср: 09:00 - 20:00
чт: 09:00 - 20:00
пт: 09:00 - 20:00
сб: 09:00 - 20:00
вс: 09:00 - 20:00";"Московское время";Действующая;"5 из 5";"больше 100";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе"
"АвтоАльянс, гипермаркет автозапчастей";"+7 (495) 777-41-42, +7 (495) 660-51-64, +7 (495) 664-23-36, +7 (495) 151-30-13, +7 (495) 151-30-53";;"8 800 700-05-95 (Колл-центр, Секретариат/приёмная), 8 800 600-69-66 (Секретариат/приёмная)";;t.me/autoopt_ru;;9701127481;1197746136961;"Разуваев Александр Викторович";"АвтоАльянс: продажа автозапчастей оптом для грузовиков и легковых автомобилей";"Оптовая компания, Магазин, Продавец на Ozon, Продавец на Wildberries, Торговые знаки, Компании на УСН";Москва;Вешняки;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозапчасти для отечественных автомобилей";Главная;"55.741 37.819";"пн: 00:00 - 24:00
вт: 00:00 - 24:00
ср: 00:00 - 24:00
чт: 00:00 - 24:00
пт: 00:00 - 24:00
сб: 00:00 - 24:00
вс: 00:00 - 24:00";"Московское время";Действующая;"5 из 5";"больше 100";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе";"Не выбрано в конфигураторе"
"Техком, магазин автозапчастей";"+7 (495) 320-09-09, +7 (495) 913-25-90, +7 (499) 169-03-00, +7 (499) 426-01-66, +7 (495) 320-42-22 (Секретариат/приёмная), +7 (495) 663-63-50 (Секретариат/приёмная), +7 (495) 972-95-43, +7 (499) 426-01-56";"+7 (901) 541-63-93, +7 (903) 960-50-45 (Секретариат/приёмная), +7 (991) 609-49-32";;wa.me/79663727534;t.me/+79663727534;viber://chat/?number=79663727534;7718781635;1097746668271;"Александр Валерьевич Ч.";"Автозапчасти для легковых и грузовых автомобилей Техком";"Магазин, Торговая сеть, Лизингополучатель, Торговые знаки";Москва;Богородское;"Московская область";"Центральный федеральный округ";"Автосервис / Товары для автомобилей";"Автозапчасти для отечественных автомобилей";Главная;"55.816 37.694";"пн: 00:00 - 07:45, 08:00 - 24:00
вт: 00:00 - 07:45, 08:00 - 24:00
ср: 00:00 - 07:45, 08:00 - 24:00
чт: 00:00 - 07:45, 08:00 - 24:00
пт: 00:00 - 07:45, 08:00 - 24:00
сб: 00:00 - 07:45, 08:00 - 24:00
вс: 00:00 - 07:45, 08:00 - 24:00";"Московское время";Действующая;"5 из 5";"больше 100";-;-;-;-;-;-;-;-;-
